Name,URL,Remote Testing,Adaptive/IRT,Job Level,Completion Time,Languages,Test Types
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,Yes Remote Testing,Yes IRT,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 44,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,Yes Remote Testing,Yes IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 49,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 30,"English (USA),",Simulations
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 43,"English (USA),","Ability and aptitude, Personalities and behavior, Simulations, Biodata and situational Judgement"
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 48,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 53,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 45,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 43,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 29,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,Yes Remote Testing,Yes IRT,"Director, Front Line Manager, Manager,",Approximate Completion Time in minutes = 59,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,Yes Remote Testing,Yes IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 61,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior, Simulations"
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager,",Approximate Completion Time in minutes = 63,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,Yes Remote Testing,No IRT,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 21,"English International, English (USA), French (Canada), Latin American Spanish,","Competencies, Biodata and situational Judgement"
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Professional Individual Contributor, Mid-Professional,",Approximate Completion Time in minutes = 21,"English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada),","Biodata and situational Judgement, Competencies"
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,Yes Remote Testing,Yes IRT,"Mid-Professional,",Approximate Completion Time in minutes = 47,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 29,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 38,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 43,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,Yes Remote Testing,No IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 44,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,Yes Remote Testing,Yes IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 42,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 40,"English (USA),","Biodata and situational Judgement, Ability and aptitude, Personalities and behavior"
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 38,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 48,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 25,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,Yes Remote Testing,No IRT,"Front Line Manager, Manager,",Approximate Completion Time in minutes = 34,"English (USA), English International, French (Canada), Latin American Spanish,","Biodata and situational Judgement, Competencies"
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Front Line Manager, Manager,",Approximate Completion Time in minutes = 34,"English (USA), Latin American Spanish, Portuguese (Brazil), French (Canada),","Biodata and situational Judgement, Competencies"
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,Yes Remote Testing,No IRT,"Front Line Manager, Manager,",Approximate Completion Time in minutes = 34,"Latin American Spanish, English International,","Competencies, Biodata and situational Judgement"
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,Yes Remote Testing,Yes IRT,"Manager, Supervisor,",Approximate Completion Time in minutes = 49,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 57,"English (USA),",Simulations
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,Yes Remote Testing,No IRT,"Supervisor,",Approximate Completion Time in minutes = 32,"English International, English (USA), French (Canada), Latin American Spanish,","Biodata and situational Judgement, Competencies"
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Front Line Manager, Supervisor,",Approximate Completion Time in minutes = 29,"Portuguese (Brazil), French (Canada), English (USA),","Biodata and situational Judgement, Competencies, Personalities and behavior"
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,Yes Remote Testing,No IRT,"Supervisor, Front Line Manager,",Approximate Completion Time in minutes = 29,"Italian, Norwegian, Spanish, English (USA), French, German, Dutch, Swedish, Portuguese, English International,","Personalities and behavior, Competencies, Biodata and situational Judgement"
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 38,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 39,"English (USA),","Ability and aptitude, Personalities and behavior, Simulations, Biodata and situational Judgement"
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 41,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,Yes Remote Testing,Yes IRT,"Mid-Professional,",Approximate Completion Time in minutes = 52,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Yes Remote Testing,No IRT,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 16,"German, Spanish, Latin American Spanish, French, Italian, Indonesian, Chinese Simplified, French (Canada), English International, English (USA),","Competencies, Personalities and behavior"
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,Yes Remote Testing,Yes IRT,"Mid-Professional,",Approximate Completion Time in minutes = 68,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 35,"English (USA),","Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior, Simulations"
Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 35,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior, Simulations"
Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 33,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior"
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 16,"German, English International, English (USA), Italian, French, Dutch, French (Canada), Latin American Spanish, Arabic,",Biodata and situational Judgement
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 16,"Portuguese (Brazil), English (USA), French (Canada), Latin American Spanish,",Biodata and situational Judgement
Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,Yes Remote Testing,No IRT,"Director,",Approximate Completion Time in minutes = 20,"English International, English (USA), French (Canada), Latin American Spanish,",Biodata and situational Judgement
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Entry-Level, General Population, Professional Individual Contributor,",Approximate Completion Time in minutes = 20,"English (USA), Latin American Spanish, French (Canada),","Biodata and situational Judgement, Competencies, Personalities and behavior"
Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,Yes Remote Testing,No IRT,"Entry-Level, General Population, Professional Individual Contributor,",Approximate Completion Time in minutes = 20,"English International, Finnish, French, Dutch, Latin American Spanish, Swedish, Portuguese (Brazil), Italian, German, French (Canada), Danish,","Biodata and situational Judgement, Competencies, Personalities and behavior"
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 21,"English (USA), English (Australia),","Biodata and situational Judgement, Personalities and behavior"
